team,narrative,note
Mexico,0,eliminated R16 - no distinguishing storyline beyond host-nation run
South Africa,0,
South Korea,0,eliminated group stage
Czechia,0,eliminated group stage
Switzerland,1,dark horse overperforming seed; won on penalties in R16 v Colombia after a 0-0
Canada,0,"eliminated R16 - host nation, decent run but no major storyline"
Bosnia and Herzegovina,0,
Qatar,0,eliminated group stage
Brazil,-1,shock R16 exit to Norway (2-1) - biggest upset of the knockouts so far
Morocco,2,"AFCON 2025 title controversially awarded by CAF forfeit ruling over Senegal (Mar 2026); strong, confident knockout run"
Scotland,0,eliminated group stage
Haiti,0,eliminated group stage
USA,0,"co-host, eliminated R16 by Belgium (1-4) - flattered by draw, exposed in defense"
Australia,0,
Paraguay,0,"eliminated R16 - lost narrowly 0-1 to France, competitive but no storyline"
Turkiye,0,eliminated group stage
Germany,0,
Ivory Coast,0,eliminated R32 - narrow 1-2 loss to Norway
Ecuador,0,
Curacao,0,"eliminated group stage - smallest nation in the field, historic qualification itself is the story but no on-pitch signal"
Netherlands,0,eliminated R32 on penalties to Morocco after a 1-1 draw - unlucky but even match
Japan,0,
Sweden,0,eliminated R32 - beaten comfortably 0-3 by France
Tunisia,0,eliminated group stage
Belgium,-1,fragile knockout run - needed extra time to beat Senegal 3-2 in R32; golden generation still searching for a signature win
Egypt,0,"eliminated R16 - lost a back-and-forth 2-3 to Argentina, competitive but no distinguishing storyline"
Iran,0,eliminated group stage
New Zealand,0,eliminated group stage
Spain,1,"pre-tournament co-favorite; shaky group opener (0-0 v Cape Verde) but dominant since, eliminated rival favorite Portugal 1-0 in R16"
Cape Verde,0,"eliminated R32 - held Spain 0-0 in the group, competitive extra-time loss to Argentina; smallest-federation Cinderella run but no bearing on QF field"
Uruguay,0,eliminated group stage - shock exit for a traditionally strong side
Saudi Arabia,0,eliminated group stage
France,1,"pre-tournament favorite performing to expectations; comfortable, controlled knockout wins (3-0, 1-0)"
Norway,2,biggest storyline of the tournament - beat Brazil 2-1 in R16 after losing 1-4 to France in the group; pure underdog run
Senegal,0,"eliminated R32 in extra time to Belgium (2-3), competitive but no distinguishing storyline"
Iraq,0,eliminated group stage
Argentina,1,"defending champions; gritty, high-scoring knockout wins (both by 3-2) show a team that can be got at but keeps winning"
Austria,0,eliminated R32 - beaten 0-3 by Spain
Algeria,0,eliminated R32 - beaten 0-2 by Switzerland
Jordan,0,eliminated group stage
Colombia,0,"eliminated R16 on penalties to Switzerland after a 0-0 - unlucky, even match"
Portugal,-2,pre-tournament co-favorite eliminated in R16 by Spain (0-1) - the marquee upset the pre-tournament rankings should have flagged
DR Congo,0,eliminated R32 - narrow 1-2 loss to England
Uzbekistan,0,eliminated group stage
England,0,"performing to seed; solid but unspectacular wins, no signature statement yet"
Croatia,0,
Ghana,0,
Panama,0,eliminated group stage
